"Date","Currency","Mean","Buy","Sell"
"07/02/2023","US DOLLAR","124.8000","124.7000","124.9000"
"06/02/2023","US DOLLAR","124.6618","124.5618","124.7618"
"03/02/2023","US DOLLAR","124.5941","124.4941","124.6941"
"02/02/2023","US DOLLAR","124.5235","124.4235","124.6235"
"01/02/2023","US DOLLAR","124.4765","124.3765","124.5765"
"31/01/2023","US DOLLAR","124.4029","124.3029","124.5029"
"30/01/2023","US DOLLAR","124.3912","124.2912","124.4912"
"27/01/2023","US DOLLAR","124.3500","124.2500","124.4500"
"26/01/2023","US DOLLAR","124.3000","124.2000","124.4000"
"25/01/2023","US DOLLAR","124.2471","124.1471","124.3471"
"24/01/2023","US DOLLAR","124.1735","124.0735","124.2735"
"23/01/2023","US DOLLAR","124.1265","124.0265","124.2265"
"20/01/2023","US DOLLAR","124.0941","123.9941","124.1941"
"19/01/2023","US DOLLAR","124.0500","123.9500","124.1500"
"18/01/2023","US DOLLAR","124.0088","123.9088","124.1088"
"17/01/2023","US DOLLAR","123.9441","123.8441","124.0441"
"16/01/2023","US DOLLAR","123.8912","123.7912","123.9912"
"13/01/2023","US DOLLAR","123.8353","123.7353","123.9353"
"12/01/2023","US DOLLAR","123.7794","123.6794","123.8794"
"11/01/2023","US DOLLAR","123.7176","123.6176","123.8176"
"10/01/2023","US DOLLAR","123.6471","123.5471","123.7471"
"09/01/2023","US DOLLAR","123.5882","123.4882","123.6882"
"06/01/2023","US DOLLAR","123.5471","123.4471","123.6471"
"05/01/2023","US DOLLAR","123.4824","123.3824","123.5824"
"04/01/2023","US DOLLAR","123.4412","123.3412","123.5412"
"03/01/2023","US DOLLAR","123.4235","123.3235","123.5235"
"30/12/2022","US DOLLAR","123.3735","123.2735","123.4735"
"29/12/2022","US DOLLAR","123.3294","123.2294","123.4294"
"28/12/2022","US DOLLAR","123.2588","123.1588","123.3588"
"23/12/2022","US DOLLAR","123.2088","123.1088","123.3088"
"22/12/2022","US DOLLAR","123.1647","123.0647","123.2647"
"21/12/2022","US DOLLAR","123.1441","123.0441","123.2441"
"20/12/2022","US DOLLAR","123.0941","122.9941","123.1941"
"19/12/2022","US DOLLAR","123.0471","122.9471","123.1471"
"16/12/2022","US DOLLAR","122.9882","122.8882","123.0882"
"15/12/2022","US DOLLAR","122.9412","122.8412","123.0412"
"14/12/2022","US DOLLAR","122.8971","122.7971","122.9971"
"13/12/2022","US DOLLAR","122.8382","122.7382","122.9382"
"09/12/2022","US DOLLAR","122.7912","122.6912","122.8912"
"08/12/2022","US DOLLAR","122.7382","122.6382","122.8382"
"07/12/2022","US DOLLAR","122.6853","122.5853","122.7853"
"06/12/2022","US DOLLAR","122.6324","122.5324","122.7324"
"05/12/2022","US DOLLAR","122.5912","122.4912","122.6912"
"02/12/2022","US DOLLAR","122.5324","122.4324","122.6324"
"01/12/2022","US DOLLAR","122.5000","122.4000","122.6000"
"30/11/2022","US DOLLAR","122.4471","122.3471","122.5471"
"29/11/2022","US DOLLAR","122.3765","122.2765","122.4765"
"28/11/2022","US DOLLAR","122.3353","122.2353","122.4353"
"25/11/2022","US DOLLAR","122.2794","122.1794","122.3794"
"24/11/2022","US DOLLAR","122.2294","122.1294","122.3294"
"23/11/2022","US DOLLAR","122.1824","122.0824","122.2824"
"22/11/2022","US DOLLAR","122.1265","122.0265","122.2265"
"21/11/2022","US DOLLAR","122.0794","121.9794","122.1794"
"18/11/2022","US DOLLAR","122.0294","121.9294","122.1294"
"17/11/2022","US DOLLAR","121.9794","121.8794","122.0794"
"16/11/2022","US DOLLAR","121.9294","121.8294","122.0294"
"15/11/2022","US DOLLAR","121.8971","121.7971","121.9971"
"14/11/2022","US DOLLAR","121.8265","121.7265","121.9265"
"11/11/2022","US DOLLAR","121.7824","121.6824","121.8824"
"10/11/2022","US DOLLAR","121.7382","121.6382","121.8382"
"09/11/2022","US DOLLAR","121.6706","121.5706","121.7706"
"08/11/2022","US DOLLAR","121.6118","121.5118","121.7118"
"07/11/2022","US DOLLAR","121.5382","121.4382","121.6382"
"04/11/2022","US DOLLAR","121.4971","121.3971","121.5971"
"03/11/2022","US DOLLAR","121.4529","121.3529","121.5529"
"02/11/2022","US DOLLAR","121.4147","121.3147","121.5147"
"01/11/2022","US DOLLAR","121.3794","121.2794","121.4794"
"31/10/2022","US DOLLAR","121.3324","121.2324","121.4324"
"28/10/2022","US DOLLAR","121.3118","121.2118","121.4118"
"27/10/2022","US DOLLAR","121.2735","121.1735","121.3735"
"26/10/2022","US DOLLAR","121.2324","121.1324","121.3324"
"25/10/2022","US DOLLAR","121.1941","121.0941","121.2941"
"24/10/2022","US DOLLAR","121.1676","121.0676","121.2676"
"21/10/2022","US DOLLAR","121.1353","121.0353","121.2353"
"19/10/2022","US DOLLAR","121.1059","121.0059","121.2059"
"18/10/2022","US DOLLAR","121.0706","120.9706","121.1706"
"17/10/2022","US DOLLAR","121.0306","120.9306","121.1306"
"14/10/2022","US DOLLAR","120.9735","120.8735","121.0735"
"13/10/2022","US DOLLAR","120.9353","120.8353","121.0353"
"12/10/2022","US DOLLAR","120.9118","120.8118","121.0118"
"11/10/2022","US DOLLAR","120.8647","120.7647","120.9647"
"07/10/2022","US DOLLAR","120.8500","120.7500","120.9500"
"06/10/2022","US DOLLAR","120.8235","120.7235","120.9235"
"05/10/2022","US DOLLAR","120.8059","120.7059","120.9059"
"04/10/2022","US DOLLAR","120.7882","120.6882","120.8882"
"03/10/2022","US DOLLAR","120.7765","120.6765","120.8765"
"30/09/2022","US DOLLAR","120.7324","120.6324","120.8324"
"29/09/2022","US DOLLAR","120.6971","120.5971","120.7971"
"28/09/2022","US DOLLAR","120.6735","120.5735","120.7735"
"27/09/2022","US DOLLAR","120.6235","120.5235","120.7235"
"26/09/2022","US DOLLAR","120.5971","120.4971","120.6971"
"23/09/2022","US DOLLAR","120.5600","120.4600","120.6600"
"22/09/2022","US DOLLAR","120.5424","120.4424","120.6424"
"21/09/2022","US DOLLAR","120.4982","120.3982","120.5982"
"20/09/2022","US DOLLAR","120.4559","120.3559","120.5559"
"19/09/2022","US DOLLAR","120.4294","120.3294","120.5294"
"16/09/2022","US DOLLAR","120.4106","120.3106","120.5106"
"15/09/2022","US DOLLAR","120.4118","120.3118","120.5118"
"14/09/2022","US DOLLAR","120.3706","120.2706","120.4706"
"12/09/2022","US DOLLAR","120.3353","120.2353","120.4353"
"09/09/2022","US DOLLAR","120.3059","120.2059","120.4059"
"08/09/2022","US DOLLAR","120.2824","120.1824","120.3824"
"07/09/2022","US DOLLAR","120.2618","120.1618","120.3618"
"06/09/2022","US DOLLAR","120.2206","120.1206","120.3206"
"05/09/2022","US DOLLAR","120.1847","120.0847","120.2847"
"02/09/2022","US DOLLAR","120.1176","120.0176","120.2176"
"01/09/2022","US DOLLAR","120.0529","119.9529","120.1529"
"31/08/2022","US DOLLAR","120.0129","119.9129","120.1129"
"30/08/2022","US DOLLAR","119.9794","119.8794","120.0794"
"29/08/2022","US DOLLAR","119.9294","119.8294","120.0294"
"26/08/2022","US DOLLAR","119.9059","119.8059","120.0059"
"25/08/2022","US DOLLAR","119.8576","119.7576","119.9576"
"24/08/2022","US DOLLAR","119.8029","119.7029","119.9029"
"23/08/2022","US DOLLAR","119.7206","119.6206","119.8206"
"22/08/2022","US DOLLAR","119.6294","119.5294","119.7294"
"19/08/2022","US DOLLAR","119.5735","119.4735","119.6735"
"18/08/2022","US DOLLAR","119.4735","119.3735","119.5735"
"17/08/2022","US DOLLAR","119.4500","119.3500","119.5500"
"16/08/2022","US DOLLAR","119.4147","119.3147","119.5147"
"15/08/2022","US DOLLAR","119.3559","119.2559","119.4559"
"12/08/2022","US DOLLAR","119.3118","119.2118","119.4118"
"11/08/2022","US DOLLAR","119.2412","119.1412","119.3412"
"10/08/2022","US DOLLAR","119.1735","119.0735","119.2735"
"08/08/2022","US DOLLAR","119.1265","119.0265","119.2265"
"05/08/2022","US DOLLAR","119.0912","118.9912","119.1912"
"04/08/2022","US DOLLAR","119.0324","118.9324","119.1324"
"03/08/2022","US DOLLAR","118.9941","118.8941","119.0941"
"02/08/2022","US DOLLAR","118.9118","118.8118","119.0118"
"01/08/2022","US DOLLAR","118.8500","118.7500","118.9500"
"29/07/2022","US DOLLAR","118.8000","118.7000","118.9000"
"28/07/2022","US DOLLAR","118.7588","118.6588","118.8588"
"27/07/2022","US DOLLAR","118.7176","118.6176","118.8176"
"26/07/2022","US DOLLAR","118.6588","118.5588","118.7588"
"25/07/2022","US DOLLAR","118.6206","118.5206","118.7206"
"22/07/2022","US DOLLAR","118.5706","118.4706","118.6706"
"21/07/2022","US DOLLAR","118.5206","118.4206","118.6206"
"20/07/2022","US DOLLAR","118.4529","118.3529","118.5529"
"19/07/2022","US DOLLAR","118.3882","118.2882","118.4882"
"18/07/2022","US DOLLAR","118.3324","118.2324","118.4324"
"15/07/2022","US DOLLAR","118.2718","118.1718","118.3718"
"14/07/2022","US DOLLAR","118.2306","118.1306","118.3306"
"13/07/2022","US DOLLAR","118.1794","118.0794","118.2794"
"12/07/2022","US DOLLAR","118.1324","118.0324","118.2324"
"08/07/2022","US DOLLAR","118.0706","117.9735","118.1676"
"07/07/2022","US DOLLAR","118.0324","117.9324","118.1324"
"06/07/2022","US DOLLAR","117.9941","117.8941","118.0941"
"05/07/2022","US DOLLAR","117.9529","117.8529","118.0529"
"04/07/2022","US DOLLAR","117.8971","117.7971","117.9971"
"01/07/2022","US DOLLAR","117.8735","117.7735","117.9735"
"30/06/2022","US DOLLAR","117.8324","117.7324","117.9324"
"29/06/2022","US DOLLAR","117.7912","117.6912","117.8912"
"28/06/2022","US DOLLAR","117.7029","117.6029","117.8029"
"27/06/2022","US DOLLAR","117.6941","117.5941","117.7941"
"24/06/2022","US DOLLAR","117.6559","117.5559","117.7559"
"23/06/2022","US DOLLAR","117.5706","117.4706","117.6706"
"22/06/2022","US DOLLAR","117.5059","117.4059","117.6059"
"21/06/2022","US DOLLAR","117.4353","117.3353","117.5353"
"20/06/2022","US DOLLAR","117.3971","117.2971","117.4971"
"17/06/2022","US DOLLAR","117.3265","117.2265","117.4265"
"16/06/2022","US DOLLAR","117.2853","117.1853","117.3853"
"15/06/2022","US DOLLAR","117.2353","117.1353","117.3353"
"14/06/2022","US DOLLAR","117.1676","117.0676","117.2676"
"13/06/2022","US DOLLAR","117.1000","117.0000","117.2000"
"10/06/2022","US DOLLAR","117.0471","116.9471","117.1471"
"09/06/2022","US DOLLAR","117.0100","116.9100","117.1100"
"08/06/2022","US DOLLAR","116.9500","116.8500","117.0500"
"07/06/2022","US DOLLAR","116.9000","116.8000","117.0000"
"06/06/2022","US DOLLAR","116.8482","116.7482","116.9482"
"03/06/2022","US DOLLAR","116.8306","116.7306","116.9306"
"02/06/2022","US DOLLAR","116.8100","116.7100","116.9100"
"31/05/2022","US DOLLAR","116.7382","116.6382","116.8382"
"30/05/2022","US DOLLAR","116.7147","116.6147","116.8147"
"27/05/2022","US DOLLAR","116.6868","116.5882","116.7853"
"26/05/2022","US DOLLAR","116.6165","116.5165","116.7165"
"25/05/2022","US DOLLAR","116.5794","116.4794","116.6794"
"24/05/2022","US DOLLAR","116.5176","116.4176","116.6176"
"23/05/2022","US DOLLAR","116.4706","116.3706","116.5706"
"20/05/2022","US DOLLAR","116.4059","116.3059","116.5059"
"19/05/2022","US DOLLAR","116.3735","116.2765","116.4706"
"18/05/2022","US DOLLAR","116.3176","116.2176","116.4176"
"17/05/2022","US DOLLAR","116.2441","116.1441","116.3441"
"16/05/2022","US DOLLAR","116.1735","116.0735","116.2735"
"13/05/2022","US DOLLAR","116.1235","116.0235","116.2235"
"12/05/2022","US DOLLAR","116.0971","115.9971","116.1971"
"11/05/2022","US DOLLAR","116.0676","115.9676","116.1676"
"10/05/2022","US DOLLAR","115.9959","115.8959","116.0959"
"09/05/2022","US DOLLAR","115.9459","115.8459","116.0459"
"06/05/2022","US DOLLAR","115.9047","115.8047","116.0047"
"05/05/2022","US DOLLAR","115.8441","115.7441","115.9441"
"04/05/2022","US DOLLAR","115.8059","115.7059","115.9059"
"28/04/2022","US DOLLAR","115.7735","115.6735","115.8735"
"27/04/2022","US DOLLAR","115.7412","115.6412","115.8412"
"26/04/2022","US DOLLAR","115.6971","115.5971","115.7971"
"25/04/2022","US DOLLAR","115.6529","115.5529","115.7529"
"22/04/2022","US DOLLAR","115.5971","115.4971","115.6971"
"21/04/2022","US DOLLAR","115.5441","115.4441","115.6441"
"20/04/2022","US DOLLAR","115.5059","115.4059","115.6059"
"19/04/2022","US DOLLAR","115.4847","115.3847","115.5847"
"14/04/2022","US DOLLAR","115.4382","115.3382","115.5382"
"13/04/2022","US DOLLAR","115.4088","115.3088","115.5088"
"12/04/2022","US DOLLAR","115.3765","115.2765","115.4765"
"11/04/2022","US DOLLAR","115.3324","115.2324","115.4324"
"08/04/2022","US DOLLAR","115.2882","115.1882","115.3882"
"07/04/2022","US DOLLAR","115.1941","115.0941","115.2941"
"06/04/2022","US DOLLAR","115.1206","115.0206","115.2206"
"05/04/2022","US DOLLAR","115.0969","114.9969","115.1969"
"04/04/2022","US DOLLAR","115.0375","114.9375","115.1375"
"01/04/2022","US DOLLAR","114.9950","114.8950","115.0950"
"31/03/2022","US DOLLAR","114.9513","114.8512","115.0512"
"30/03/2022","US DOLLAR","114.8731","114.7731","114.9731"
"29/03/2022","US DOLLAR","114.8250","114.7250","114.9250"
"28/03/2022","US DOLLAR","114.7529","114.6529","114.8529"
"25/03/2022","US DOLLAR","114.6853","114.5853","114.7853"
"24/03/2022","US DOLLAR","114.6000","114.5000","114.7000"
"23/03/2022","US DOLLAR","114.4971","114.3971","114.5971"
"22/03/2022","US DOLLAR","114.4353","114.3353","114.5353"
"21/03/2022","US DOLLAR","114.3953","114.2953","114.4953"
"18/03/2022","US DOLLAR","114.3806","114.2806","114.4806"
"17/03/2022","US DOLLAR","114.3144","114.2159","114.4129"
"16/03/2022","US DOLLAR","114.2865","114.1865","114.3865"
"15/03/2022","US DOLLAR","114.2324","114.1324","114.3324"
"14/03/2022","US DOLLAR","114.1853","114.0853","114.2853"
"11/03/2022","US DOLLAR","114.1794","114.0794","114.2794"
"10/03/2022","US DOLLAR","114.1353","114.0353","114.2353"
"09/03/2022","US DOLLAR","114.0753","113.9753","114.1753"
"08/03/2022","US DOLLAR","114.0129","113.9129","114.1129"
"07/03/2022","US DOLLAR","113.9471","113.8471","114.0471"
"04/03/2022","US DOLLAR","113.9147","113.8147","114.0147"
"03/03/2022","US DOLLAR","113.8894","113.7894","113.9894"
"02/03/2022","US DOLLAR","113.8529","113.7529","113.9529"
"01/03/2022","US DOLLAR","113.8412","113.7412","113.9412"
"28/02/2022","US DOLLAR","113.8353","113.7353","113.9353"
"25/02/2022","US DOLLAR","113.8206","113.7206","113.9206"
"24/02/2022","US DOLLAR","113.8000","113.7000","113.9000"
"23/02/2022","US DOLLAR","113.7424","113.6424","113.8424"
"22/02/2022","US DOLLAR","113.6941","113.5941","113.7941"
"21/02/2022","US DOLLAR","113.6882","113.5882","113.7882"
"18/02/2022","US DOLLAR","113.6735","113.5735","113.7735"
"17/02/2022","US DOLLAR","113.6382","113.5382","113.7382"
"16/02/2022","US DOLLAR","113.6353","113.5353","113.7353"
"15/02/2022","US DOLLAR","113.6294","113.5294","113.7294"
"14/02/2022","US DOLLAR","113.6265","113.5265","113.7265"
"11/02/2022","US DOLLAR","113.6265","113.5265","113.7265"
"10/02/2022","US DOLLAR","113.6265","113.5265","113.7265"
"09/02/2022","US DOLLAR","113.6265","113.5265","113.7265"
"08/02/2022","US DOLLAR","113.6206","113.5206","113.7206"
"07/02/2022","US DOLLAR","113.6088","113.5088","113.7088"
"04/02/2022","US DOLLAR","113.6029","113.5029","113.7029"
"03/02/2022","US DOLLAR","113.5865","113.4865","113.6865"
"02/02/2022","US DOLLAR","113.5765","113.4765","113.6765"
"01/02/2022","US DOLLAR","113.5765","113.4765","113.6765"
"31/01/2022","US DOLLAR","113.5735","113.4735","113.6735"
"28/01/2022","US DOLLAR","113.5706","113.4706","113.6706"
"27/01/2022","US DOLLAR","113.5471","113.4471","113.6471"
"26/01/2022","US DOLLAR","113.5471","113.4471","113.6471"
"25/01/2022","US DOLLAR","113.5382","113.4382","113.6382"
"24/01/2022","US DOLLAR","113.5294","113.4294","113.6294"
"21/01/2022","US DOLLAR","113.5176","113.4176","113.6176"
"20/01/2022","US DOLLAR","113.5000","113.4000","113.6000"
"19/01/2022","US DOLLAR","113.4676","113.3676","113.5676"
"18/01/2022","US DOLLAR","113.4147","113.3147","113.5147"
"17/01/2022","US DOLLAR","113.3941","113.2941","113.4941"
"14/01/2022","US DOLLAR","113.3676","113.2676","113.4676"
"13/01/2022","US DOLLAR","113.3329","113.2329","113.4329"
"12/01/2022","US DOLLAR","113.3118","113.2118","113.4118"
"11/01/2022","US DOLLAR","113.2765","113.1765","113.3765"
"10/01/2022","US DOLLAR","113.2382","113.1382","113.3382"
"07/01/2022","US DOLLAR","113.2206","113.1206","113.3206"
"06/01/2022","US DOLLAR","113.1853","113.0853","113.2853"
"05/01/2022","US DOLLAR","113.1735","113.0735","113.2735"
"04/01/2022","US DOLLAR","113.1559","113.0559","113.2559"
"03/01/2022","US DOLLAR","113.1382","113.0382","113.2382"
"31/12/2021","US DOLLAR","113.1412","113.0412","113.2412"
"30/12/2021","US DOLLAR","113.1265","113.0265","113.2265"
"29/12/2021","US DOLLAR","113.1059","113.0059","113.2059"
"28/12/2021","US DOLLAR","113.1000","113.0000","113.2000"
"24/12/2021","US DOLLAR","113.0794","112.9794","113.1794"
"23/12/2021","US DOLLAR","113.0618","112.9618","113.1618"
"22/12/2021","US DOLLAR","113.0471","112.9471","113.1471"
"21/12/2021","US DOLLAR","113.0441","112.9441","113.1441"
"20/12/2021","US DOLLAR","113.0265","112.9265","113.1265"
"17/12/2021","US DOLLAR","113.0059","112.9059","113.1059"
"16/12/2021","US DOLLAR","112.9559","112.8559","113.0559"
"15/12/2021","US DOLLAR","112.9235","112.8235","113.0235"
"14/12/2021","US DOLLAR","112.9147","112.8147","113.0147"
"10/12/2021","US DOLLAR","112.8876","112.7876","112.9876"
"09/12/2021","US DOLLAR","112.8571","112.7571","112.9571"
"08/12/2021","US DOLLAR","112.8088","112.7088","112.9088"
"07/12/2021","US DOLLAR","112.7059","112.6059","112.8059"
"06/12/2021","US DOLLAR","112.6735","112.5735","112.7735"
"03/12/2021","US DOLLAR","112.6265","112.5265","112.7265"
"02/12/2021","US DOLLAR","112.5647","112.4647","112.6647"
"01/12/2021","US DOLLAR","112.5235","112.4235","112.6235"
"30/11/2021","US DOLLAR","112.4882","112.3882","112.5882"
"29/11/2021","US DOLLAR","112.4441","112.3441","112.5441"
"26/11/2021","US DOLLAR","112.3853","112.2853","112.4853"
"25/11/2021","US DOLLAR","112.3647","112.2647","112.4647"
"24/11/2021","US DOLLAR","112.3500","112.2500","112.4500"
"23/11/2021","US DOLLAR","112.2882","112.1882","112.3882"
"22/11/2021","US DOLLAR","112.2529","112.1529","112.3529"
"19/11/2021","US DOLLAR","112.1824","112.0824","112.2824"
"18/11/2021","US DOLLAR","112.1088","112.0088","112.2088"
"17/11/2021","US DOLLAR","112.0118","111.9118","112.1118"
"16/11/2021","US DOLLAR","111.9735","111.8735","112.0735"
"15/11/2021","US DOLLAR","111.9118","111.8118","112.0118"
"12/11/2021","US DOLLAR","111.8147","111.7147","111.9147"
"11/11/2021","US DOLLAR","111.7735","111.6735","111.8735"
"10/11/2021","US DOLLAR","111.7000","111.6000","111.8000"
"09/11/2021","US DOLLAR","111.6541","111.5541","111.7541"
"08/11/2021","US DOLLAR","111.5941","111.4941","111.6941"
"05/11/2021","US DOLLAR","111.5471","111.4471","111.6471"
"04/11/2021","US DOLLAR","111.4382","111.3382","111.5382"
"03/11/2021","US DOLLAR","111.3559","111.2559","111.4559"
"02/11/2021","US DOLLAR","111.2941","111.1941","111.3941"
"01/11/2021","US DOLLAR","111.2441","111.1441","111.3441"
"29/10/2021","US DOLLAR","111.2147","111.1147","111.3147"
"28/10/2021","US DOLLAR","111.1529","111.0529","111.2529"
"27/10/2021","US DOLLAR","111.1471","111.0471","111.2471"
"26/10/2021","US DOLLAR","111.1265","111.0265","111.2265"
"25/10/2021","US DOLLAR","111.0853","110.9853","111.1853"
"22/10/2021","US DOLLAR","111.0559","110.9559","111.1559"
"21/10/2021","US DOLLAR","111.0176","110.9176","111.1176"
"19/10/2021","US DOLLAR","110.9118","110.8118","111.0118"
"18/10/2021","US DOLLAR","110.8941","110.7941","110.9941"
"15/10/2021","US DOLLAR","110.8676","110.7676","110.9676"
"14/10/2021","US DOLLAR","110.8106","110.7106","110.9106"
"13/10/2021","US DOLLAR","110.7694","110.6694","110.8694"
"12/10/2021","US DOLLAR","110.7371","110.6371","110.8371"
"08/10/2021","US DOLLAR","110.7165","110.6165","110.8165"
"07/10/2021","US DOLLAR","110.6929","110.5929","110.7929"
"06/10/2021","US DOLLAR","110.6194","110.5194","110.7194"
"05/10/2021","US DOLLAR","110.5529","110.4529","110.6529"
"04/10/2021","US DOLLAR","110.5088","110.4088","110.6088"
"01/10/2021","US DOLLAR","110.4947","110.3947","110.5947"
"30/09/2021","US DOLLAR","110.4859","110.3859","110.5859"
"29/09/2021","US DOLLAR","110.4494","110.3494","110.5494"
"28/09/2021","US DOLLAR","110.4018","110.3018","110.5018"
"27/09/2021","US DOLLAR","110.3824","110.2824","110.4824"
"24/09/2021","US DOLLAR","110.3765","110.2765","110.4765"
